127.0.0.1, 2015-07-30 16:50:20, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.076564
127.0.0.1, 2015-07-30 16:50:22, GET, /admin/static/_2.11.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.048560
127.0.0.1, 2015-07-30 16:50:22, GET, /admin/static/_2.11.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.084020
127.0.0.1, 2015-07-30 16:50:24, GET, /admin/static/_2.11.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.067145
127.0.0.1, 2015-07-30 16:50:24, GET, /admin/static/_2.11.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.067230
127.0.0.1, 2015-07-30 16:50:25, GET, /admin/static/_2.11.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.098445
127.0.0.1, 2015-07-30 16:50:25, GET, /admin/static/_2.11.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.047268
127.0.0.1, 2015-07-30 16:50:25, GET, /admin/static/_2.11.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.042260
127.0.0.1, 2015-07-30 16:50:26, GET, /admin/static/_2.11.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.050076
127.0.0.1, 2015-07-30 16:50:26, GET, /admin/static/_2.11.2/js/ajax_editor.js, HTTP/1.1, 200, 0.019348
127.0.0.1, 2015-07-30 16:50:27, GET, /admin/static/_2.11.2/js/typeahead.min.js, HTTP/1.1, 200, 0.060459
127.0.0.1, 2015-07-30 16:50:27, GET, /admin/static/_2.11.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.049177
127.0.0.1, 2015-07-30 16:50:28, GET, /admin/static/_2.11.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.027191
127.0.0.1, 2015-07-30 16:50:46, GET, /admin/static/_2.11.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.040286
127.0.0.1, 2015-07-30 16:50:47, GET, /admin/static/_2.11.2/images/files_toggle.png, HTTP/1.1, 200, 0.033713
127.0.0.1, 2015-07-30 16:50:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 1.794088
127.0.0.1, 2015-07-30 16:50:55, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 4.262205
127.0.0.1, 2015-07-30 16:50:58, GET, /admin/default/files_menu, HTTP/1.1, 200, 6.858023
127.0.0.1, 2015-07-30 16:51:00, GET, /admin/default/todolist.load, HTTP/1.1, 200, 8.558846
127.0.0.1, 2015-07-30 16:51:05, GET, /myapp/appadmin/hooks, HTTP/1.1, 200, 5.399289
127.0.0.1, 2015-07-30 16:51:14, GET, /admin/static/_2.11.2/images/save_icon.png, HTTP/1.1, 200, 0.027807
127.0.0.1, 2015-07-30 16:52:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.076593
